[META] fileB_1m.bin.meta.json: 256 blocos x 4096 B  sha256=b41b6122bd779fcd...
[SEEDER] 256 blocos carregados de 'fileB_1m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 24 -> 127.0.0.1:43628
[SERVER] bloco 24 -> 127.0.0.1:43634
[SERVER] bloco 25 -> 127.0.0.1:43642
[SERVER] bloco 25 -> 127.0.0.1:43656
[SERVER] bloco 26 -> 127.0.0.1:43666
[SERVER] bloco 26 -> 127.0.0.1:43676
[SERVER] bloco 27 -> 127.0.0.1:43680
[SERVER] bloco 27 -> 127.0.0.1:43696
[SERVER] bloco 28 -> 127.0.0.1:43704
[SERVER] bloco 28 -> 127.0.0.1:43712
[SERVER] bloco 29 -> 127.0.0.1:43722
[SERVER] bloco 29 -> 127.0.0.1:43734
[SERVER] bloco 30 -> 127.0.0.1:43738
[SERVER] bloco 30 -> 127.0.0.1:43740
[SERVER] bloco 31 -> 127.0.0.1:43750
[SERVER] bloco 32 -> 127.0.0.1:43758
[SERVER] bloco 31 -> 127.0.0.1:43752
[SERVER] bloco 32 -> 127.0.0.1:43762
[SERVER] bloco 33 -> 127.0.0.1:43778
[SERVER] bloco 33 -> 127.0.0.1:43794
[SERVER] bloco 34 -> 127.0.0.1:43810
[SERVER] bloco 34 -> 127.0.0.1:43822
[SERVER] bloco 35 -> 127.0.0.1:43834
[SERVER] bloco 35 -> 127.0.0.1:43840
[SERVER] bloco 36 -> 127.0.0.1:43854
[SERVER] bloco 36 -> 127.0.0.1:43864
[SERVER] bloco 37 -> 127.0.0.1:43868
[SERVER] bloco 37 -> 127.0.0.1:43874
[SERVER] bloco 38 -> 127.0.0.1:43878
[SERVER] bloco 38 -> 127.0.0.1:43892
[SERVER] bloco 39 -> 127.0.0.1:43904
[SERVER] bloco 39 -> 127.0.0.1:43920
[SERVER] bloco 40 -> 127.0.0.1:43932
[SERVER] bloco 40 -> 127.0.0.1:43938
[SERVER] bloco 41 -> 127.0.0.1:43952
[SERVER] bloco 41 -> 127.0.0.1:43964
[SERVER] bloco 42 -> 127.0.0.1:43968
[SERVER] bloco 42 -> 127.0.0.1:43984
[SERVER] bloco 43 -> 127.0.0.1:44000
[SERVER] bloco 43 -> 127.0.0.1:44006
[SERVER] bloco 44 -> 127.0.0.1:44016
[SERVER] bloco 44 -> 127.0.0.1:44028
[SERVER] bloco 45 -> 127.0.0.1:44030
[SERVER] bloco 45 -> 127.0.0.1:44038
[SERVER] bloco 46 -> 127.0.0.1:44040
[SERVER] bloco 46 -> 127.0.0.1:44046
[SERVER] bloco 47 -> 127.0.0.1:44052
[SERVER] bloco 47 -> 127.0.0.1:44056
[SERVER] bloco 48 -> 127.0.0.1:44068
[SERVER] bloco 48 -> 127.0.0.1:44080
[SERVER] bloco 49 -> 127.0.0.1:44088
[SERVER] bloco 49 -> 127.0.0.1:44100
[SERVER] bloco 50 -> 127.0.0.1:44110
[SERVER] bloco 50 -> 127.0.0.1:44118
[SERVER] bloco 51 -> 127.0.0.1:44132
[SERVER] bloco 51 -> 127.0.0.1:44136
[SERVER] bloco 52 -> 127.0.0.1:44144
[SERVER] bloco 52 -> 127.0.0.1:44156
[SERVER] bloco 53 -> 127.0.0.1:44170
[SERVER] bloco 53 -> 127.0.0.1:44182
[SERVER] bloco 54 -> 127.0.0.1:44184
[SERVER] bloco 54 -> 127.0.0.1:44192
[SERVER] bloco 55 -> 127.0.0.1:44196
[SERVER] bloco 55 -> 127.0.0.1:44204
[SERVER] bloco 56 -> 127.0.0.1:44212
[SERVER] bloco 56 -> 127.0.0.1:44214
[SERVER] bloco 57 -> 127.0.0.1:44224
[SERVER] bloco 57 -> 127.0.0.1:44226
[SERVER] bloco 58 -> 127.0.0.1:44236
[SERVER] bloco 58 -> 127.0.0.1:44252
[SERVER] bloco 59 -> 127.0.0.1:44256
[SERVER] bloco 59 -> 127.0.0.1:44266
[SERVER] bloco 60 -> 127.0.0.1:44274
[SERVER] bloco 60 -> 127.0.0.1:44278
[SERVER] bloco 61 -> 127.0.0.1:44282
