[META] fileC_10m.bin.meta.json: 2560 blocos x 4096 B  sha256=a8d923f027ed0245...
[SEEDER] 2560 blocos carregados de 'fileC_10m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 430 -> 127.0.0.1:33476
[SERVER] bloco 431 -> 127.0.0.1:33482
[SERVER] bloco 432 -> 127.0.0.1:33492
[SERVER] bloco 433 -> 127.0.0.1:33496
[SERVER] bloco 434 -> 127.0.0.1:33506
[SERVER] bloco 435 -> 127.0.0.1:33514
[SERVER] bloco 436 -> 127.0.0.1:33522
[SERVER] bloco 437 -> 127.0.0.1:33528
[SERVER] bloco 438 -> 127.0.0.1:33544
[SERVER] bloco 439 -> 127.0.0.1:33554
[SERVER] bloco 440 -> 127.0.0.1:33560
[SERVER] bloco 441 -> 127.0.0.1:33566
[SERVER] bloco 442 -> 127.0.0.1:33582
[SERVER] bloco 443 -> 127.0.0.1:33598
[SERVER] bloco 444 -> 127.0.0.1:33614
[SERVER] bloco 445 -> 127.0.0.1:33618
[SERVER] bloco 446 -> 127.0.0.1:33630
[SERVER] bloco 447 -> 127.0.0.1:33632
[SERVER] bloco 448 -> 127.0.0.1:33646
[SERVER] bloco 449 -> 127.0.0.1:33650
[SERVER] bloco 450 -> 127.0.0.1:33658
[SERVER] bloco 451 -> 127.0.0.1:33670
[SERVER] bloco 452 -> 127.0.0.1:33678
[SERVER] bloco 453 -> 127.0.0.1:33692
[SERVER] bloco 454 -> 127.0.0.1:33702
[SERVER] bloco 455 -> 127.0.0.1:33706
[SERVER] bloco 456 -> 127.0.0.1:33714
[SERVER] bloco 457 -> 127.0.0.1:33724
[SERVER] bloco 458 -> 127.0.0.1:33736
[SERVER] bloco 459 -> 127.0.0.1:33748
[SERVER] bloco 460 -> 127.0.0.1:33752
[SERVER] bloco 461 -> 127.0.0.1:33762
[SERVER] bloco 462 -> 127.0.0.1:33776
[SERVER] bloco 463 -> 127.0.0.1:33788
[SERVER] bloco 464 -> 127.0.0.1:33800
[SERVER] bloco 465 -> 127.0.0.1:33804
[SERVER] bloco 466 -> 127.0.0.1:33808
